company_id,company_name,sector,P/E,P/B,EV/EBITDA,fcf_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
COMP001,Company 1,Pharma,22.89708138575778,8.184656610700976,13.286360639311004,3.193574423686195,16.465997377529987,-44.90189561751114,Discount
COMP006,Company 6,FMCG,22.092614545022585,4.041956411663822,26.441182882241634,1.113202826863029,26.245082021900757,-46.38068530341643,Discount
COMP007,Company 7,Banking,14.655138390294962,4.380246573759496,9.922093508426183,0.1878819409256868,22.857059278710707,-61.27084053033938,Discount
COMP018,Company 18,Pharma,14.206998249752441,4.241715772701366,29.693985120390913,3.770056507881403,33.046462807250194,-65.81316809165062,Discount
COMP019,Company 19,FMCG,18.081435704730687,2.143544613866963,15.614933459425275,1.026009173459045,48.83349635352576,-56.11591424626442,Discount
COMP022,Company 22,Banking,10.459852580831482,2.9423892474715885,29.784537960216127,2.6062273225508017,38.43845018141545,-72.35772956600445,Discount
COMP023,Company 23,Pharma,15.073577143301605,6.606014282371002,34.74363883401818,2.3469693957600652,29.27256046117538,-63.72788684868258,Discount
COMP025,Company 25,Banking,10.253079192310935,1.4651354905174694,18.044488316405143,5.683658405164539,34.20394385307781,-72.90416995604522,Discount
COMP026,Company 26,FMCG,18.04040257087493,5.782191684113332,28.963149940033915,0.5773046653241911,46.24400439865758,-56.21550266359343,Discount
COMP030,Company 30,Pharma,21.213465473027988,9.782668715162812,19.582838739125496,5.018683951110066,45.83002378785482,-48.95324363592302,Discount
COMP032,Company 32,IT,21.862454374840006,3.9066082564712135,28.372657600286423,5.675310294275946,35.565038716458396,-48.07213131551569,Discount
COMP033,Company 33,IT,26.269984907963387,8.156675752918332,10.78434445857018,0.7481882090286887,22.54048495328304,-37.603331114826375,Discount
COMP039,Company 39,IT,14.683738391404624,8.523821084609853,18.508445325822404,1.022743990932374,49.02700269131433,-65.12307237271203,Discount
COMP040,Company 40,FMCG,28.385790152971676,7.263767854843282,8.292616589968056,3.642310879000546,49.47600829022491,-31.106994510693585,Discount
COMP041,Company 41,IT,23.260118384086272,4.680576499728429,32.44531336332012,1.4726421064717883,38.53014513275032,-44.752389081053,Discount
COMP042,Company 42,FMCG,22.199482168954177,2.559648880637612,10.464740273225607,3.680708471742017,32.37166192107658,-46.12131497190647,Discount
COMP051,Company 51,Energy,19.762149389902227,5.989186472602606,26.157998314080036,1.2350475200655018,35.309777445560016,-47.21181367647208,Discount
COMP053,Company 53,Banking,24.03861812204279,4.776400561850109,29.37263418059791,0.9725045221187969,47.4436823674525,-36.4731024788275,Discount
COMP054,Company 54,Energy,11.215798321572692,3.229578905510417,29.319689855452957,0.4075295052397985,44.910427801015516,-70.04062463626482,Discount
COMP056,Company 56,Energy,18.855533970352447,7.820614994179322,21.3493482269697,1.5096039944228623,13.001945030895577,-49.6335433550986,Discount
COMP061,Company 61,Pharma,10.772830826443371,8.699145256099065,17.474705338906126,3.1574378204454634,34.576967183381136,-74.07693376416644,Discount
COMP064,Company 64,Energy,58.33274095218348,1.8805074458590134,28.56078705637175,0.9971366736396549,44.00051907915693,55.817038794340554,Caution
COMP067,Company 67,Pharma,24.722444603479282,2.5588168291901368,10.27088376510493,0.9552120290910957,27.763141088831276,-40.50945575098155,Discount
COMP070,Company 70,FMCG,25.846100257813884,6.542650882469948,30.190221600839617,10.902592060741263,44.85945029769202,-37.270883870311245,Discount
COMP071,Company 71,Banking,18.474637334304624,6.715842857808794,27.068540133225397,3.5698927610463698,42.89023834694295,-51.17704409135718,Discount
COMP076,Company 76,Pharma,14.858824688538427,8.7084085706949,18.007337970806056,0.9449152465478495,47.90109773553227,-64.2446537225732,Discount
COMP079,Company 79,IT,17.0042007618262,1.6351187266038685,34.62202872321751,9.03498952122257,29.120677141783553,-59.61149241958425,Discount
COMP085,Company 85,Pharma,27.97455756098776,4.493529335858697,19.453994249668362,3.768169988157072,35.48887313740004,-32.68377455704992,Discount
COMP086,Company 86,Banking,24.679592213224666,6.789593965981179,32.471568397557874,3.3647274657180315,25.61018328524794,-34.77919914388915,Discount
